fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
10100,US,,,cbsa,,iso1:us#cbsa:10100,,42668,0.141,other,2.0,,0.87,1.24,,,,2,2,1,4,0,4,4,6155,109,,,,169,51,2,0.4508284023668638,16,,,,0,,18887,17963,2021-06-25,,0.443,0.421,0,36130
10140,US,,,cbsa,,iso1:us#cbsa:10140,,75061,0.026,other,7.0,,0.59,0.63,,,0.63,1,0,1,4,0,4,0,4574,75,,,,164,40,3,0.74,4,2,1,0.52,4,,34287,30492,2021-06-25,,0.457,0.406,0,
10180,US,,,cbsa,,iso1:us#cbsa:10180,,172060,0.028,other,4.1,,0.74,0.62,,,,1,0,1,4,0,4,4,19824,510,,,,,,13,,,,4,,5,,59199,51862,2021-06-25,,0.344,0.301,0,105848
10220,US,,,cbsa,,iso1:us#cbsa:10220,,38284,0.008,other,0.7,,1.19,1.01,,,0.61,0,0,0,4,2,4,0,5174,80,,,,276,55,1,0.47,11,7,1,0.49,0,,16433,13929,2021-06-25,,0.429,0.364,0,
10300,US,,,cbsa,,iso1:us#cbsa:10300,,98451,0.002,other,1.9,,0.8,0.93,,,0.31,1,0,1,4,0,4,0,10848,176,,,,113,30,0,0.28,10,3,0,0.59,0,,39439,36885,2021-06-25,,0.401,0.375,1,76324
10380,US,,,cbsa,,iso1:us#cbsa:10380,,289289,0.014,other,0.9,,0.7,0.85,,,,0,0,0,4,0,4,4,12605,,,,,,,,,,,,,3,,157068,122225,2021-06-25,,0.543,0.423,,
10420,US,,,cbsa,,iso1:us#cbsa:10420,,703479,0.003,other,1.7,,0.75,0.39,,,0.81,1,0,1,4,0,4,2,61721,1222,,,,3327,1421,27,0.637306883077848,179,145,4,0.5537430167597767,12,,355825,326990,2021-06-25,,0.506,0.465,0,
10460,US,,,cbsa,,iso1:us#cbsa:10460,,67490,0.037,other,5.5,,0.83,0.77,,,0.86,1,1,1,4,0,4,3,5235,80,,,,106,57,0,0.53,9,7,1,0.59,5,4460,26747,22132,2021-06-25,,0.396,0.328,0,34169
10500,US,,,cbsa,,iso1:us#cbsa:10500,,146726,0.02,other,1.6,,0.7,0.77,,,,1,0,1,4,0,4,4,13125,488,,,,,,,,,,,,4,,53515,48179,2021-06-25,,0.365,0.328,0,100153
10540,US,,,cbsa,,iso1:us#cbsa:10540,,129749,0.046,other,11.0,,0.96,0.45,,,0.4,2,1,2,4,1,4,0,5653,81,,,,128,67,1,0.45,18,7,0,0.3,17,,56692,51333,2021-06-25,,0.437,0.396,0,104012
