fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,4,4,367,3,,,,,,,,,,,,0,,2335,2203,2021-06-25,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.7,0.66,0,
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.003,other,38.0,,1.34,1.14,inf,,,3,0,3,4,2,4,4,725,0,,,,0,,,,0,,,,0,,3419,2791,2021-06-25,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.607,0.495,0,
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.013,other,5.6,,1.06,0.44,0.17,,0.87,1,0,1,4,1,0,3,30857,175,,,,1149,497,9,0.66,51,45,4,0.71,0,,141717,125666,2021-06-25,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.492,0.436,0,
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.004,other,4.7,,1.03,1.22,inf,,,1,0,1,4,1,4,4,3912,22,,,,37,,,0.4,0,,,,0,,9788,8948,2021-06-25,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.532,0.487,0,
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,51.3,,1.16,1.18,,,,3,4,3,4,2,4,4,631,3,,,,,,,,,,,,2,,735,643,2021-06-25,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,0.88,0.769,0,
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.011,other,0.0,,,,,,,0,0,0,4,4,4,4,109,0,,,,,,,,,,,,0,,1025,898,2021-06-25,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.489,0.428,0,
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.006,other,0.0,,,,inf,,,0,0,0,4,4,4,4,232,2,,,,18,,,0.15,0,,,,0,,2202,1841,2021-06-25,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.448,0.374,0,
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.008,other,2.1,,0.78,0.91,0.08,,0.62,1,0,1,4,0,0,0,8000,44,,,,175,55,2,0.46,13,8,0,0.66,0,,37205,34092,2021-06-25,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.384,0.352,0,
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,0.0,,,,,,,0,4,0,4,4,4,4,28,0,,,,,,,,,,,,0,,1491,1429,2021-06-25,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.589,0.565,0,
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,,other,0.0,,,,,,,0,4,0,4,4,4,4,0,0,,,,,,,,,,,,0,,1448,1266,2021-06-25,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.674,0.589,0,
02110,US,AK,Juneau City and Borough,county,,iso1:us#iso2:us-ak#fips:02110,,31974,0.005,other,4.0,,0.81,0.97,,,0.49,1,0,1,4,0,4,0,1465,3,,,,73,34,1,0.41,9,4,1,0.32,0,,20674,19458,2021-06-25,https://covidactnow.org/us/alaska-ak/county/juneau_city_and_borough,0.647,0.609,0,
02122,US,AK,Kenai Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02122,,58708,0.011,other,2.4,,0.9,1.02,,,0.64,1,0,1,4,0,4,0,4552,19,,,,77,54,1,0.56,11,7,0,0.69,0,,22556,21067,2021-06-25,https://covidactnow.org/us/alaska-ak/county/kenai_peninsula_borough,0.384,0.359,0,
02130,US,AK,Ketchikan Gateway Borough,county,,iso1:us#iso2:us-ak#fips:02130,,13901,0.004,other,0.0,,0.93,1.19,,,0.48,0,0,0,4,1,4,0,654,1,,,,25,11,1,0.42,6,2,0,0.31,0,,7311,6758,2021-06-25,https://covidactnow.org/us/alaska-ak/county/ketchikan_gateway_borough,0.526,0.486,0,
02150,US,AK,Kodiak Island Borough,county,,iso1:us#iso2:us-ak#fips:02150,,12998,0.01,other,2.2,,1.0,1.17,,,,1,0,1,4,1,4,4,1123,6,,,,25,8,0,0.22,2,1,1,,0,,6837,6363,2021-06-25,https://covidactnow.org/us/alaska-ak/county/kodiak_island_borough,0.526,0.49,0,
02158,US,AK,Kusilvak Census Area,county,,iso1:us#iso2:us-ak#fips:02158,,8314,0.172,other,73.9,,1.39,0.78,,,,3,2,3,4,2,4,4,1369,4,,,,,,,,,,,,0,,4471,3902,2021-06-25,https://covidactnow.org/us/alaska-ak/county/kusilvak_census_area,0.538,0.469,0,
02164,US,AK,Lake and Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02164,,1592,0.01,other,0.0,,,,,,,0,0,0,4,4,4,4,127,0,,,,,,,,,,,,0,,828,724,2021-06-25,https://covidactnow.org/us/alaska-ak/county/lake_and_peninsula_borough,0.52,0.455,0,
