GEOID,County,State,Target_PctChg,AgeUnder15,Age15to24,Age25to34,Age35to44,Age45to64,Age65to84,asAgeOver85,Married_Family,Avg_HH_Size,Avg_Fam_Size,High_School,BS,Veterans,Born_in_State,Own_Comp,Broadband_Access,Mean_HHI,Median_HHI,Unempl_Rate,maskLow,maskHigh,DensPerSqMile,DominantReligion,Religiosity,Region,vaccineHest,Geographical_Point,CVAC_level_of_concern_for_vaccination_rollout,Social_Vulnerability_Index_SVI,per_dem,per_gop
10001,Kent County,Delaware,0.069868996,0.129,0.136,0.138,0.115,0.244,0.158,0.02,0.458,2.59,3.11,0.887,0.245,0.142,0.441,0.918,0.887,71690,58001,4.7,0.138,0.862,276.9,Catholic,0.397215205,South,0.2443,POINT (-75.452394 38.994926),0.32,0.73,0.511944843,0.471232404
10003,New Castle County,Delaware,-0.171581769,0.119,0.129,0.145,0.125,0.265,0.144,0.016,0.448,2.56,3.24,0.915,0.368,0.07,0.461,0.954,0.903,100948,76328,4.8,0.081,0.919,1263.2,Catholic,0.530676219,South,0.2073,POINT (-75.452394 38.994926),0.16,0.38,0.678065451,0.307210925
10005,Sussex County,Delaware,-0.381465517,0.104,0.092,0.096,0.099,0.271,0.264,0.026,0.538,2.39,2.85,0.889,0.313,0.096,0.389,0.929,0.855,88437,65155,4.2,0.041,0.959,210.6,Catholic,0.48672297,South,0.2004,POINT (-75.452394 38.994926),0.12,0.4,0.438199641,0.550667945
1003,Baldwin County,Alabama,1.948559671,0.121,0.116,0.109,0.128,0.265,0.195,0.019,0.513,2.68,3.36,0.905,0.322,0.111,0.531,0.939,0.867,81449,56439,5.5,0.24,0.759,114.6,Evangelical,0.625556196,South,0.4701,POINT (-86.844516 32.756889),0.23,0.22,0.2240903,0.761713728
1015,Calhoun County,Alabama,1.291390728,0.117,0.127,0.132,0.127,0.257,0.164,0.016,0.461,2.48,3.06,0.846,0.193,0.098,0.71,0.87,0.792,61137,48156,7.6,0.39,0.609,195.7,Evangelical,0.764286678,South,0.5521,POINT (-86.844516 32.756889),0.66,0.83,0.298452425,0.688484397
1043,Cullman County,Alabama,-0.074780059,0.125,0.11,0.126,0.123,0.269,0.165,0.019,0.532,2.57,3,0.813,0.157,0.076,0.752,0.869,0.82,61920,50906,4.7,0.403,0.596,109.4,Evangelical,0.825547845,South,0.5497,POINT (-86.844516 32.756889),0.51,0.52,0.106998638,0.881221476
1049,DeKalb County,Alabama,1.495833333,0.137,0.142,0.118,0.126,0.247,0.154,0.013,0.548,2.83,3.62,0.786,0.128,0.065,0.673,0.865,0.82,56777,44208,4.7,0.241,0.759,91.5,Evangelical,0.612032232,South,0.5817,POINT (-86.844516 32.756889),0.8,0.8,0.145830495,0.843677613
1051,Elmore County,Alabama,1.722063037,0.129,0.11,0.162,0.124,0.266,0.143,0.014,0.529,2.5,3.09,0.897,0.249,0.105,0.721,0.907,0.846,82576,61854,2.8,0.264,0.737,128.2,Evangelical,0.541732343,South,0.519,POINT (-86.844516 32.756889),0.6,0.54,0.252668779,0.735169388
1055,Etowah County,Alabama,-0.019005848,0.131,0.113,0.12,0.117,0.269,0.174,0.022,0.439,2.52,3.24,0.841,0.172,0.07,0.784,0.877,0.808,59944,41447,6.3,0.377,0.623,195.2,Evangelical,0.865029206,South,0.5535,POINT (-86.844516 32.756889),0.64,0.66,0.242352497,0.744384847
1069,Houston County,Alabama,4.995884774,0.126,0.118,0.131,0.125,0.258,0.16,0.019,0.448,2.63,3.31,0.85,0.227,0.101,0.616,0.91,0.844,69495,50103,6.2,0.299,0.701,175.1,Evangelical,0.911105203,South,0.5464,POINT (-86.844516 32.756889),0.6,0.68,0.279752236,0.706430165
