fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.013,other,5.1,1.27,1.03,0.27,0.1,5,actual,79,actual,0.65,1,0,1,0,1,0,0,70443,357,113475,2430314,235,1853,1051,13,0.58,129,84,5,0.676923076923,0,828745,351550,307246,2021-06-25,https://covidactnow.org/us/alaska-ak,0.481,0.42,0,643516
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.039,other,3.1,0.53,0.82,0.1,0.19,67,actual,1265,actual,0.82,1,1,1,1,0,0,2,546829,11328,546562,4144929,404,19167,11385,319,0.6,1622,1332,67,0.7,381,4769800,1928656,1574676,2021-06-25,https://covidactnow.org/us/alabama-al,0.393,0.321,0,3308713
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.054,other,9.5,0.55,1.15,0.1,0.22,87,actual,616,actual,0.69,2,1,1,1,2,0,0,346952,5890,237644,2591126,790,13284,6866,249,0.55,1012,703,87,0.61,383,2818400,1248617,1013056,2021-06-25,https://covidactnow.org/us/arkansas-ar,0.414,0.336,3,2200842
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.047,other,6.5,0.17,1.03,0.1,0.06,76,actual,1070,actual,0.51,1,1,1,1,1,0,0,890308,17875,892981,7132162,396,18286,12102,484,0.6,2241,1146,76,0.829018663456,626,8041530,3567569,2865109,2021-06-25,https://covidactnow.org/us/arizona-az,0.49,0.394,7,6394880
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.01,other,2.4,2.25,1.0,0.1,0.1,232,actual,4604,actual,0.7,1,0,1,0,1,0,0,3812993,63490,3770713,54766746,10600,99574,48877,1240,0.6,6946,4836,232,0.59,1014,48798865,23892051,19213533,2021-06-25,https://covidactnow.org/us/california-ca,0.605,0.486,65,41839888
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.021,other,7.1,0.64,0.88,0.1,0.25,133,actual,774,actual,0.7,1,0,1,1,0,0,0,558665,6904,535271,7638593,1300,13464,8088,429,0.63,1305,907,133,0.8043135192,650,6981105,3301856,2917366,2021-06-25,https://covidactnow.org/us/colorado-co,0.573,0.507,5,6089509
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.005,other,1.6,3.03,0.89,0.17,0.01,3,actual,509,actual,0.49,1,0,1,0,0,0,0,348169,8274,473890,8948688,860,8238,6548,64,0.68,1052,512,3,0.65,153,4687585,2365490,2115931,2021-06-25,https://covidactnow.org/us/connecticut-ct,0.663,0.593,3,4339850
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.004,other,1.3,5.77,0.75,0.44,0.1,9,actual,258,actual,0.78,1,0,1,0,0,0,1,49297,1141,69226,1967579,268,4623,2679,84,0.76,344,267,9,0.8289855072460001,13,1056305,427158,359956,2021-06-25,https://covidactnow.org/us/district_of_columbia-dc,0.605,0.51,0,848202
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.011,other,2.2,1.97,0.81,0.26,0.11,5,actual,137,actual,0.78,1,0,1,0,0,0,1,109620,1693,126070,2026946,211,4052,2535,31,0.71,181,142,5,0.73,21,1270635,559891,470185,2021-06-25,https://covidactnow.org/us/delaware-de,0.575,0.483,0,1015607
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.04,other,7.2,0.34,0.99,0.1,0.2,405,actual,4407,actual,0.75,1,1,1,1,1,0,1,2316187,37705,2870470,27801949,2600,76852,44509,1829,0.76,6386,4812,405,0.76,1935,24639665,11351820,9545070,2021-06-25,https://covidactnow.org/us/florida-fl,0.529,0.444,27,20612298
13,US,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.019,other,3.1,0.96,0.94,0.1,0.14,107,actual,2008,actual,0.77,1,0,1,0,1,0,1,1107923,20676,839226,7795027,1570,29899,17584,589,0.68,2752,2115,107,0.815056720523,365,11091725,4513062,3762566,2021-06-25,https://covidactnow.org/us/georgia-ga,0.425,0.354,16,8221814
15,US,HI,,state,,iso1:us#iso2:us-hi,,1415872,0.016,other,3.0,1.42,0.9,0.21,0.1,9,actual,125,actual,0.61,1,0,1,0,0,0,0,36157,510,41082,1634279,300,3064,1846,45,0.66,218,134,9,0.69,53,1935230,980509,725008,2021-06-25,https://covidactnow.org/us/hawaii-hi,0.693,0.512,0,1668004
